2024-12-24 15:36:32,908 [INFO] Successfully exported 'customer' to '/data/output/gen/sf3000/customer/customer_0000001.parquet'.
2024-12-24 15:36:32,909 [INFO] Exporting table 'partsupp' to '/data/output/gen/sf3000/partsupp/partsupp_0000001.parquet'...
2024-12-24 15:36:33,142 [INFO] Successfully exported 'partsupp' to '/data/output/gen/sf3000/partsupp/partsupp_0000001.parquet'.
2024-12-24 15:36:33,143 [INFO] Exporting table 'supplier' to '/data/output/gen/sf3000/supplier/supplier_0000001.parquet'...
2024-12-24 15:36:33,164 [INFO] Successfully exported 'supplier' to '/data/output/gen/sf3000/supplier/supplier_0000001.parquet'.
2024-12-24 15:36:33,164 [INFO] Exporting table 'region' to '/data/output/gen/sf3000/region/region_0000001.parquet'...
2024-12-24 15:36:33,165 [INFO] Successfully exported 'region' to '/data/output/gen/sf3000/region/region_0000001.parquet'.
2024-12-24 15:36:33,165 [INFO] Exporting table 'orders' to '/data/output/gen/sf3000/orders/orders_0000001.parquet'...
2024-12-24 15:36:33,459 [INFO] Successfully exported 'orders' to '/data/output/gen/sf3000/orders/orders_0000001.parquet'.
2024-12-24 15:36:33,459 [INFO] Exporting table 'part' to '/data/output/gen/sf3000/part/part_0000001.parquet'...
2024-12-24 15:36:33,666 [INFO] Successfully exported 'part' to '/data/output/gen/sf3000/part/part_0000001.parquet'.
2024-12-24 15:36:33,666 [INFO] Exporting table 'lineitem' to '/data/output/gen/sf3000/lineitem/lineitem_0000001.parquet'...
2024-12-24 15:36:34,398 [INFO] Successfully exported 'lineitem' to '/data/output/gen/sf3000/lineitem/lineitem_0000001.parquet'.
2024-12-24 15:36:34,399 [INFO] Dropped table 'nation' after export.
2024-12-24 15:36:34,400 [INFO] Dropped table 'customer' after export.
2024-12-24 15:36:34,401 [INFO] Dropped table 'partsupp' after export.
2024-12-24 15:36:34,401 [INFO] Dropped table 'supplier' after export.
2024-12-24 15:36:34,402 [INFO] Dropped table 'region' after export.
2024-12-24 15:36:34,403 [INFO] Dropped table 'orders' after export.
2024-12-24 15:36:34,404 [INFO] Dropped table 'part' after export.
2024-12-24 15:36:34,414 [INFO] Dropped table 'lineitem' after export.
2024-12-24 15:36:34,414 [INFO] === Step 2 ===
2024-12-24 15:36:34,414 [INFO] Generating data with dbgen (sf=3000, children=3000, step=2)...
